('com.wCWKEnterprises_11609511_1.0.7.log', 'com.wCWKEnterprises_11609511', 'SDKConnectionRough', 'AppLovin', 'AerServ', '/N/project/android_lib_proj/privacy_impl/apks/com.wCWKEnterprises_11609511_1.0.7.apk')
('com.wCWKEnterprises_11609511_1.0.7.log', 'com.wCWKEnterprises_11609511', 'SDKConnectionRough', 'AdMob', 'MoPub', '/N/project/android_lib_proj/privacy_impl/apks/com.wCWKEnterprises_11609511_1.0.7.apk')
('com.wCWKEnterprises_11609511_1.0.7.log', 'com.wCWKEnterprises_11609511', 'SDKConnectionRough', 'InMobi', 'AerServ', '/N/project/android_lib_proj/privacy_impl/apks/com.wCWKEnterprises_11609511_1.0.7.apk')
('com.wCWKEnterprises_11609511_1.0.7.log', 'com.wCWKEnterprises_11609511', 'SDKConnectionRough', 'AppNext', 'AerServ', '/N/project/android_lib_proj/privacy_impl/apks/com.wCWKEnterprises_11609511_1.0.7.apk')
('com.wCWKEnterprises_11609511_1.0.7.log', 'com.wCWKEnterprises_11609511', 'SDKConnectionRough', 'AdColony', 'AerServ', '/N/project/android_lib_proj/privacy_impl/apks/com.wCWKEnterprises_11609511_1.0.7.apk')
('com.wCWKEnterprises_11609511_1.0.7.log', 'com.wCWKEnterprises_11609511', 'SDKConnectionRough', 'Millennial Media', 'AerServ', '/N/project/android_lib_proj/privacy_impl/apks/com.wCWKEnterprises_11609511_1.0.7.apk')
('com.wCWKEnterprises_11609511_1.0.7.log', 'com.wCWKEnterprises_11609511', 'SDKConnectionRough', 'Chartboost', 'AerServ', '/N/project/android_lib_proj/privacy_impl/apks/com.wCWKEnterprises_11609511_1.0.7.apk')
('com.wCWKEnterprises_11609511_1.0.7.log', 'com.wCWKEnterprises_11609511', 'SDKConnectionRough', 'Unity Ads', 'AerServ', '/N/project/android_lib_proj/privacy_impl/apks/com.wCWKEnterprises_11609511_1.0.7.apk')
('com.w_10233860_1.0.7.log', 'com.w_10233860', 'SDKConnectionRough', 'Facebook Audience Network', 'MoPub', '/N/project/android_lib_proj/privacy_impl/apks/com.w_10233860_1.0.7.apk')
('com.w_10233860_1.0.7.log', 'com.w_10233860', 'SDKConnectionRough', 'AdMob', 'MoPub', '/N/project/android_lib_proj/privacy_impl/apks/com.w_10233860_1.0.7.apk')
('com.w_10233860_1.0.7.log', 'com.w_10233860', 'SDKConnectionRough', 'Facebook', 'MoPub', '/N/project/android_lib_proj/privacy_impl/apks/com.w_10233860_1.0.7.apk')
('com.herocraft.game.free.mig29_1.0.22.log', 'com.herocraft.game.free.mig29', 'SDKConnectionRough', 'Ironsource', 'AppLovin', '/N/project/android_lib_proj/privacy_impl/apks/com.herocraft.game.free.mig29_1.0.22.apk')
('com.herocraft.game.free.mig29_1.0.22.log', 'com.herocraft.game.free.mig29', 'SDKConnectionRough', 'InMobi', 'AppLovin', '/N/project/android_lib_proj/privacy_impl/apks/com.herocraft.game.free.mig29_1.0.22.apk')
